transaction_id,account_id,security_id,transaction_type,transaction_date,settlement_date,quantity,price,amount,status
TXN00001793,AC000033,SEC00119,Buy,2025-06-02,2025-06-04,85.00,366.94,31249.32,Settled
TXN00002371,AC000033,SEC00071,Sell,2025-06-05,2025-06-09,152.00,61.08,-9349.18,Settled
TXN00000431,AC000033,SEC00071,Buy,2025-06-17,2025-06-19,311.00,59.01,18379.22,Settled
TXN00000250,AC000061,SEC00100,Dividend,2025-06-23,2025-06-25,,,292.90,Settled
TXN00002143,AC000061,,Interest,2025-06-25,2025-06-27,,,1666.24,Settled
TXN00002507,AC000033,SEC00082,Dividend,2025-07-08,2025-07-10,,,1078.99,Settled
TXN00002046,AC000033,SEC00088,Buy,2025-07-14,2025-07-16,552.00,71.19,39658.81,Settled
TXN00002717,AC000033,SEC00165,Dividend,2025-07-16,2025-07-18,,,1281.39,Settled
TXN00002390,AC000061,,Fee,2025-07-28,2025-07-30,,,-5170.44,Settled
TXN00002707,AC000061,SEC00064,Sell,2025-08-07,2025-08-11,333.00,67.16,-22548.24,Settled
TXN00000084,AC000061,SEC00033,Dividend,2025-09-15,2025-09-17,,,1329.31,Settled
TXN00001038,AC000033,SEC00050,Buy,2025-09-27,2025-09-30,250.00,120.24,30303.68,Settled
TXN00002722,AC000061,SEC00140,Dividend,2025-10-03,2025-10-07,,,696.31,Settled
TXN00001890,AC000033,SEC00024,Dividend,2025-10-06,2025-10-08,,,689.51,Settled
TXN00001985,AC000033,SEC00128,Dividend,2025-10-07,2025-10-09,,,356.45,Settled
TXN00000448,AC000033,SEC00108,Buy,2025-10-20,2025-10-22,23.00,483.78,11161.38,Settled
TXN00000043,AC000033,SEC00020,Sell,2025-11-10,2025-11-12,194.00,91.74,-17930.03,Settled
TXN00000814,AC000064,SEC00128,Sell,2023-12-28,2024-01-01,30.00,387.00,-11684.16,Settled
TXN00001657,AC000090,SEC00154,Buy,2024-01-01,2024-01-03,52.00,218.34,11400.28,Settled
TXN00000865,AC000064,SEC00100,Buy,2024-01-02,2024-01-04,180.00,351.73,63846.34,Settled
TXN00000146,AC000096,SEC00038,Buy,2024-01-05,2024-01-09,1834.00,102.76,189901.36,Settled
TXN00001531,AC000064,SEC00060,Buy,2024-01-08,2024-01-10,81.00,6.72,545.86,Settled
TXN00001586,AC000090,SEC00105,Buy,2024-01-08,2024-01-10,200.00,169.61,34206.67,Settled
TXN00001294,AC000096,SEC00015,Sell,2024-01-26,2024-01-30,957.00,85.52,-82455.85,Settled
TXN00000011,AC000096,SEC00145,Buy,2024-02-12,2024-02-14,908.00,76.08,69254.80,Settled
TXN00002113,AC000096,,Fee,2024-03-04,2024-03-06,,,-71.74,Settled
TXN00000848,AC000064,,Interest,2024-03-10,2024-03-12,,,39398.28,Settled
TXN00000628,AC000096,SEC00065,Dividend,2024-03-19,2024-03-21,,,146.45,Settled
TXN00001829,AC000064,SEC00042,Buy,2024-04-01,2024-04-03,137.00,91.20,12571.88,Settled
TXN00000137,AC000090,SEC00021,Buy,2024-04-08,2024-04-10,222.00,139.11,30960.93,Settled
TXN00000724,AC000090,SEC00089,Buy,2024-04-15,2024-04-17,801.00,99.28,80041.00,Settled
TXN00001792,AC000096,SEC00114,Buy,2024-04-23,2024-04-25,300.00,48.45,14556.73,Settled
TXN00000774,AC000090,SEC00148,Dividend,2024-04-29,2024-05-01,,,630.83,Settled
TXN00001345,AC000064,SEC00039,Buy,2024-05-03,2024-05-07,1107.00,78.77,87480.85,Settled
TXN00002410,AC000096,SEC00150,Dividend,2024-05-08,2024-05-10,,,241.01,Settled
TXN00001801,AC000090,SEC00034,Dividend,2024-05-09,2024-05-13,,,194.05,Settled
TXN00001480,AC000096,SEC00129,Dividend,2024-05-15,2024-05-17,,,382.69,Settled
TXN00002042,AC000090,SEC00004,Dividend,2024-05-20,2024-05-22,,,955.62,Settled
TXN00001959,AC000096,SEC00004,Buy,2024-06-10,2024-06-12,227.00,93.30,21366.59,Settled
TXN00002146,AC000096,SEC00127,Dividend,2024-06-11,2024-06-13,,,312.17,Settled
TXN00001360,AC000064,SEC00061,Sell,2024-06-20,2024-06-24,44.00,316.03,-13955.77,Settled
TXN00001897,AC000096,SEC00045,Buy,2024-07-01,2024-07-03,398.00,106.45,42690.92,Settled
TXN00000069,AC000096,SEC00016,Dividend,2024-07-18,2024-07-22,,,236.54,Settled
TXN00002608,AC000090,SEC00099,Dividend,2024-07-22,2024-07-24,,,1118.81,Settled
TXN00001355,AC000096,SEC00056,Dividend,2024-07-29,2024-07-31,,,210.36,Settled
TXN00000632,AC000090,SEC00095,Buy,2024-07-31,2024-08-02,151.00,184.26,27906.00,Settled
TXN00002627,AC000090,SEC00001,Dividend,2024-08-13,2024-08-15,,,1391.51,Settled
TXN00001170,AC000090,SEC00136,Buy,2024-08-19,2024-08-21,171.00,354.49,60787.18,Settled
TXN00001983,AC000096,SEC00094,Buy,2024-08-19,2024-08-21,295.00,165.25,49008.42,Settled
TXN00001313,AC000064,SEC00016,Dividend,2024-09-03,2024-09-05,,,118.56,Settled
TXN00001779,AC000096,SEC00040,Dividend,2024-10-07,2024-10-09,,,155.91,Settled
TXN00001515,AC000064,SEC00081,Sell,2024-10-14,2024-10-16,25.00,198.89,-5014.43,Settled
TXN00002705,AC000064,,Interest,2024-11-01,2024-11-05,,,17841.00,Settled
TXN00001643,AC000090,SEC00124,Sell,2024-11-13,2024-11-15,153.00,25.42,-3918.50,Settled
TXN00000984,AC000090,SEC00070,Buy,2024-11-21,2024-11-25,191.00,219.82,42153.22,Settled
TXN00002191,AC000090,SEC00081,Buy,2024-12-09,2024-12-11,77.00,202.71,15740.63,Settled
TXN00000819,AC000090,SEC00074,Sell,2024-12-12,2024-12-16,44.00,240.01,-10631.29,Settled
TXN00000940,AC000064,SEC00053,Dividend,2024-12-12,2024-12-16,,,814.55,Settled
TXN00001990,AC000096,SEC00141,Sell,2024-12-30,2025-01-01,48.00,144.47,-6993.28,Settled
TXN00000149,AC000064,SEC00140,Buy,2025-01-23,2025-01-27,96.00,208.01,20087.03,Settled
TXN00002632,AC000096,,Interest,2025-01-27,2025-01-29,,,545.24,Settled
TXN00002044,AC000090,SEC00021,Sell,2025-01-28,2025-01-30,266.00,133.59,-35856.97,Settled
TXN00001498,AC000064,SEC00141,Sell,2025-02-12,2025-02-14,57.00,138.26,-7910.88,Settled
TXN00000392,AC000096,SEC00076,Buy,2025-03-03,2025-03-05,1790.00,107.72,194313.56,Settled
TXN00001974,AC000096,SEC00085,Dividend,2025-03-03,2025-03-05,,,68.38,Settled
TXN00001299,AC000096,,Fee,2025-03-10,2025-03-12,,,-82.65,Settled
TXN00001618,AC000096,SEC00149,Buy,2025-03-19,2025-03-21,772.00,77.01,59767.98,Settled
TXN00001958,AC000090,SEC00158,Buy,2025-03-21,2025-03-25,53.00,170.25,9053.02,Settled
TXN00001382,AC000090,SEC00086,Buy,2025-03-27,2025-03-31,49.00,159.26,7863.55,Settled
TXN00001122,AC000096,SEC00093,Buy,2025-04-04,2025-04-08,750.00,90.86,68294.06,Settled
TXN00001247,AC000090,SEC00028,Buy,2025-04-14,2025-04-16,251.00,178.94,45235.13,Settled
TXN00000602,AC000090,SEC00045,Dividend,2025-04-15,2025-04-17,,,485.83,Settled
TXN00000777,AC000090,SEC00111,Dividend,2025-04-22,2025-04-24,,,1129.16,Settled
TXN00002034,AC000090,SEC00131,Buy,2025-04-28,2025-04-30,1930.00,32.15,62505.45,Settled
TXN00002254,AC000096,SEC00107,Dividend,2025-05-07,2025-05-09,,,440.19,Settled
TXN00001302,AC000090,SEC00143,Sell,2025-05-13,2025-05-15,188.00,194.60,-36740.79,Settled
TXN00001667,AC000090,SEC00031,Buy,2025-05-26,2025-05-28,133.00,52.09,6974.32,Settled
TXN00001001,AC000096,SEC00148,Buy,2025-06-04,2025-06-06,1856.00,26.63,49550.29,Settled
TXN00001161,AC000090,SEC00150,Dividend,2025-06-11,2025-06-13,,,760.21,Settled
TXN00002378,AC000064,SEC00019,Dividend,2025-06-26,2025-06-30,,,1020.04,Settled
TXN00000897,AC000090,SEC00159,Dividend,2025-06-27,2025-07-01,,,1581.34,Settled
TXN00001325,AC000090,SEC00088,Dividend,2025-06-30,2025-07-02,,,882.76,Settled
TXN00000960,AC000090,SEC00049,Dividend,2025-07-14,2025-07-16,,,1989.67,Settled
TXN00002075,AC000090,SEC00080,Buy,2025-07-18,2025-07-22,76.00,223.80,17164.16,Settled
TXN00000391,AC000064,SEC00096,Sell,2025-07-30,2025-08-01,1305.00,57.97,-75877.62,Settled
TXN00002323,AC000064,SEC00036,Dividend,2025-07-30,2025-08-01,,,1015.67,Settled
TXN00000610,AC000064,,Fee,2025-08-07,2025-08-11,,,-75653.38,Settled
TXN00001037,AC000064,SEC00024,Sell,2025-08-11,2025-08-13,433.00,88.34,-38415.31,Settled
TXN00000039,AC000064,SEC00101,Buy,2025-08-13,2025-08-15,143.00,205.24,29543.12,Settled
TXN00000539,AC000090,SEC00163,Buy,2025-08-15,2025-08-19,56.00,188.55,10639.22,Settled
TXN00002138,AC000067,,Interest,2023-12-19,2023-12-21,,,1566.50,Settled
TXN00001965,AC000067,SEC00121,Buy,2023-12-21,2023-12-25,294.00,95.05,28061.16,Settled
TXN00000800,AC000067,SEC00021,Dividend,2024-01-22,2024-01-24,,,703.35,Settled
TXN00000352,AC000067,SEC00152,Buy,2024-05-09,2024-05-13,67.00,245.63,16531.27,Settled
TXN00001118,AC000067,SEC00149,Buy,2024-06-19,2024-06-21,953.00,76.28,73120.10,Settled
TXN00000631,AC000067,,Interest,2024-06-20,2024-06-24,,,1402.23,Settled
TXN00000192,AC000067,SEC00156,Dividend,2024-07-03,2024-07-05,,,261.75,Settled
TXN00001830,AC000067,SEC00013,Buy,2024-07-05,2024-07-09,238.00,171.15,40861.92,Settled
TXN00001222,AC000067,SEC00107,Sell,2024-08-21,2024-08-23,185.00,315.81,-58886.58,Settled
TXN00000417,AC000067,,Interest,2024-08-28,2024-08-30,,,1471.14,Settled
TXN00002728,AC000067,SEC00108,Buy,2024-09-02,2024-09-04,26.00,467.79,12278.83,Settled
TXN00002214,AC000067,SEC00121,Dividend,2024-09-10,2024-09-12,,,1670.47,Settled
TXN00002801,AC000067,SEC00122,Dividend,2024-09-27,2024-10-01,,,1416.48,Settled
TXN00001265,AC000067,SEC00059,Sell,2024-09-30,2024-10-02,1883.00,94.93,-179118.84,Settled
TXN00000710,AC000067,SEC00106,Dividend,2024-10-30,2024-11-01,,,1914.47,Settled
TXN00000978,AC000067,,Fee,2024-11-07,2024-11-11,,,-22.18,Settled
TXN00001541,AC000067,,Fee,2024-11-12,2024-11-14,,,-57.87,Settled
TXN00000767,AC000067,,Interest,2024-12-23,2024-12-25,,,1552.52,Settled
TXN00001683,AC000067,SEC00135,Sell,2025-01-06,2025-01-08,227.00,122.95,-28017.36,Settled
TXN00002014,AC000067,SEC00073,Dividend,2025-04-12,2025-04-15,,,412.82,Settled
TXN00001020,AC000067,,Fee,2025-05-19,2025-05-21,,,-97.77,Settled
TXN00000424,AC000067,SEC00064,Dividend,2025-07-07,2025-07-09,,,593.03,Settled
TXN00001069,AC000067,SEC00149,Dividend,2025-07-15,2025-07-17,,,1655.91,Settled
TXN00001510,AC000067,SEC00138,Dividend,2025-07-18,2025-07-22,,,1831.56,Settled
TXN00002713,AC000067,SEC00147,Dividend,2025-08-29,2025-09-02,,,1704.22,Settled
TXN00002545,AC000067,SEC00041,Buy,2025-09-08,2025-09-10,38.00,169.31,6477.35,Settled
TXN00000151,AC000067,SEC00103,Buy,2025-10-03,2025-10-07,289.00,135.78,39520.11,Settled
TXN00002009,AC000067,SEC00042,Sell,2025-10-14,2025-10-16,396.00,85.17,-33799.42,Settled
TXN00000586,AC000091,SEC00022,Dividend,2023-12-21,2023-12-25,,,1055.17,Settled
TXN00001969,AC000091,SEC00164,Buy,2023-12-27,2023-12-29,439.00,59.30,26202.67,Settled
TXN00001074,AC000091,SEC00010,Buy,2024-01-08,2024-01-10,169.00,155.18,26257.56,Settled
TXN00001149,AC000091,SEC00081,Sell,2024-02-04,2024-02-06,80.00,194.10,-15613.60,Settled
TXN00001018,AC000091,SEC00143,Dividend,2024-02-08,2024-02-12,,,1094.61,Settled
TXN00001102,AC000091,SEC00124,Sell,2024-02-08,2024-02-12,133.00,25.37,-3393.54,Settled
TXN00002130,AC000091,SEC00110,Buy,2024-05-10,2024-05-14,49.00,385.61,18930.75,Settled
TXN00001476,AC000091,SEC00123,Buy,2024-08-26,2024-08-28,616.00,98.34,60776.73,Settled
TXN00002188,AC000091,SEC00049,Buy,2024-10-18,2024-10-22,84.00,459.85,38987.61,Settled
TXN00002092,AC000091,SEC00168,Sell,2024-10-29,2024-10-31,1468.00,82.74,-122298.63,Settled
TXN00000655,AC000091,SEC00034,Dividend,2024-11-20,2024-11-22,,,1356.33,Settled
TXN00002006,AC000091,,Interest,2024-11-26,2024-11-28,,,48369.50,Settled
TXN00000088,AC000091,SEC00126,Buy,2024-12-06,2024-12-10,133.00,111.51,14957.28,Settled
TXN00000947,AC000091,,Interest,2024-12-11,2024-12-13,,,63491.77,Settled
TXN00002004,AC000091,SEC00080,Sell,2024-12-24,2024-12-26,60.00,204.40,-12343.25,Settled
TXN00001368,AC000091,SEC00002,Buy,2025-01-15,2025-01-17,62.00,266.72,16679.62,Settled
TXN00002686,AC000091,SEC00085,Buy,2025-02-03,2025-02-05,1306.00,116.21,152479.89,Settled
TXN00000975,AC000091,,Fee,2025-04-29,2025-05-01,,,-177448.92,Settled
TXN00000941,AC000091,SEC00047,Buy,2025-06-05,2025-06-09,90.00,385.34,34953.69,Settled
TXN00002503,AC000091,SEC00097,Sell,2025-06-28,2025-07-01,55.00,304.07,-16769.28,Settled
TXN00002475,AC000091,SEC00033,Dividend,2025-08-11,2025-08-13,,,869.49,Settled
TXN00000903,AC000091,SEC00143,Buy,2025-08-29,2025-09-02,36.00,202.81,7353.84,Settled
TXN00000079,AC000091,SEC00080,Sell,2025-09-29,2025-10-01,95.00,207.65,-19873.98,Settled
TXN00000125,AC000091,SEC00102,Buy,2025-10-01,2025-10-03,310.00,53.22,16604.36,Settled
TXN00002227,AC000091,SEC00143,Dividend,2025-10-13,2025-10-15,,,1058.76,Settled
TXN00002522,AC000091,SEC00101,Buy,2025-10-19,2025-10-21,23.00,219.40,5078.02,Settled
TXN00002336,AC000091,SEC00115,Sell,2025-11-03,2025-11-05,476.00,44.79,-21510.30,Settled
TXN00000469,AC000091,SEC00148,Dividend,2025-11-10,2025-11-12,,,1640.80,Settled
TXN00000858,AC000091,SEC00118,Buy,2025-12-08,2025-12-10,120.00,57.78,6965.93,Settled
TXN00000486,AC000017,SEC00086,Sell,2024-01-01,2024-01-03,60.00,167.48,-10073.34,Settled
TXN00000895,AC000099,SEC00030,Buy,2024-01-18,2024-01-22,623.00,10.44,6523.52,Settled
TXN00000124,AC000099,,Interest,2024-01-27,2024-01-30,,,3951.23,Settled
TXN00002123,AC000099,,Interest,2024-01-31,2024-02-02,,,30086.58,Settled
TXN00002176,AC000099,,Fee,2024-02-05,2024-02-07,,,-95.61,Settled
TXN00001895,AC000017,,Interest,2024-02-17,2024-02-20,,,270.53,Settled
TXN00002688,AC000099,SEC00118,Buy,2024-02-27,2024-02-29,49.00,55.26,2728.54,Settled
TXN00001280,AC000017,SEC00072,Sell,2024-03-01,2024-03-05,655.00,72.90,-47941.02,Settled
TXN00001678,AC000017,SEC00075,Dividend,2024-03-05,2024-03-07,,,331.48,Settled
TXN00001998,AC000017,SEC00008,Sell,2024-04-03,2024-04-05,259.00,102.35,-26616.49,Settled
TXN00000330,AC000099,SEC00026,Sell,2024-04-04,2024-04-08,87.00,128.86,-11293.63,Settled
TXN00001405,AC000017,SEC00088,Dividend,2024-04-17,2024-04-19,,,225.69,Settled
TXN00001867,AC000099,SEC00091,Buy,2024-04-26,2024-04-30,31.00,488.58,15260.58,Settled
TXN00000901,AC000099,SEC00035,Buy,2024-04-28,2024-04-30,48.00,238.60,11495.95,Settled
TXN00002162,AC000017,,Interest,2024-04-29,2024-05-01,,,187.05,Settled
TXN00000472,AC000099,SEC00110,Dividend,2024-05-02,2024-05-06,,,1114.57,Settled
TXN00001670,AC000017,SEC00090,Sell,2024-05-11,2024-05-14,167.00,336.13,-56612.07,Settled
TXN00000641,AC000017,SEC00054,Buy,2024-05-25,2024-05-28,220.00,166.20,36917.18,Settled
TXN00002579,AC000017,SEC00064,Dividend,2024-05-28,2024-05-30,,,346.91,Settled
TXN00000010,AC000017,SEC00029,Sell,2024-05-29,2024-05-31,574.00,53.44,-30853.56,Settled
TXN00000204,AC000017,SEC00128,Dividend,2024-06-11,2024-06-13,,,462.58,Settled
TXN00002526,AC000017,SEC00007,Sell,2024-06-18,2024-06-20,830.00,102.12,-85267.33,Settled
TXN00001980,AC000017,SEC00063,Dividend,2024-07-02,2024-07-04,,,490.36,Settled
TXN00001221,AC000017,SEC00110,Buy,2024-07-09,2024-07-11,81.00,394.06,32184.30,Settled
TXN00002248,AC000099,,Interest,2024-07-28,2024-07-30,,,56790.76,Settled
TXN00002674,AC000099,,Interest,2024-07-29,2024-07-31,,,3219.72,Settled
TXN00001556,AC000017,SEC00161,Dividend,2024-08-27,2024-08-29,,,405.74,Settled
TXN00000468,AC000017,SEC00131,Dividend,2024-09-02,2024-09-04,,,449.01,Settled
TXN00001815,AC000099,SEC00096,Sell,2024-09-24,2024-09-26,1921.00,60.29,-116502.94,Settled
TXN00001765,AC000017,,Fee,2024-10-06,2024-10-08,,,-628.08,Settled
TXN00000436,AC000017,SEC00122,Sell,2024-10-07,2024-10-09,83.00,380.31,-31861.36,Settled
TXN00001595,AC000017,,Interest,2024-10-10,2024-10-14,,,65.92,Settled
TXN00002183,AC000099,SEC00061,Buy,2024-11-13,2024-11-15,16.00,291.94,4694.43,Settled
TXN00001849,AC000017,,Interest,2024-11-18,2024-11-20,,,137.93,Settled
TXN00000878,AC000099,SEC00165,Dividend,2024-11-19,2024-11-21,,,889.76,Settled
TXN00000191,AC000017,SEC00025,Dividend,2024-12-05,2024-12-09,,,484.60,Settled
TXN00001585,AC000099,SEC00163,Dividend,2025-01-03,2025-01-07,,,559.58,Settled
TXN00000443,AC000017,SEC00148,Buy,2025-01-22,2025-01-24,1412.00,27.47,38844.72,Settled
TXN00001819,AC000099,SEC00060,Sell,2025-02-12,2025-02-14,287.00,6.82,-1973.05,Settled
TXN00002074,AC000099,SEC00016,Dividend,2025-02-25,2025-02-27,,,888.74,Settled
TXN00001574,AC000017,SEC00124,Buy,2025-03-03,2025-03-05,385.00,24.14,9367.27,Settled
TXN00000342,AC000017,SEC00041,Dividend,2025-03-11,2025-03-13,,,394.35,Settled
TXN00002266,AC000099,SEC00130,Sell,2025-03-11,2025-03-13,100.00,194.19,-19512.70,Settled
TXN00002641,AC000017,SEC00113,Dividend,2025-03-17,2025-03-19,,,99.08,Settled
TXN00001753,AC000017,SEC00147,Dividend,2025-03-19,2025-03-21,,,496.26,Settled
TXN00002766,AC000099,,Interest,2025-03-26,2025-03-28,,,3422.60,Settled
TXN00002343,AC000099,SEC00057,Dividend,2025-04-01,2025-04-03,,,1914.70,Settled
TXN00001989,AC000017,,Fee,2025-04-03,2025-04-07,,,-87.00,Settled
TXN00001403,AC000017,SEC00130,Buy,2025-04-04,2025-04-08,142.00,202.90,28915.45,Settled
TXN00001392,AC000099,SEC00109,Buy,2025-04-29,2025-05-01,55.00,274.25,15161.32,Settled
TXN00001844,AC000017,,Fee,2025-06-16,2025-06-18,,,-564.23,Settled
TXN00000494,AC000017,SEC00142,Dividend,2025-06-25,2025-06-27,,,393.34,Settled
TXN00001214,AC000099,SEC00077,Buy,2025-06-30,2025-07-02,42.00,486.41,20585.98,Settled
TXN00001119,AC000099,SEC00010,Dividend,2025-07-05,2025-07-08,,,1694.73,Settled
TXN00001540,AC000017,SEC00165,Buy,2025-07-25,2025-07-29,488.00,29.88,14665.59,Settled
TXN00000211,AC000099,SEC00003,Dividend,2025-08-11,2025-08-13,,,1996.64,Settled
TXN00001758,AC000017,SEC00074,Buy,2025-08-11,2025-08-13,190.00,257.51,49193.14,Settled
TXN00002144,AC000017,SEC00128,Buy,2025-08-11,2025-08-13,21.00,357.30,7523.22,Settled
TXN00002290,AC000099,SEC00041,Dividend,2025-09-03,2025-09-05,,,1566.04,Settled
TXN00002509,AC000017,SEC00027,Sell,2025-09-04,2025-09-08,626.00,22.49,-14209.66,Settled
TXN00002590,AC000017,SEC00066,Sell,2025-09-18,2025-09-22,555.00,110.35,-61626.07,Settled
TXN00000384,AC000017,SEC00143,Dividend,2025-09-29,2025-10-01,,,205.30,Settled
TXN00000701,AC000017,,Interest,2025-10-02,2025-10-06,,,22.88,Settled
TXN00002562,AC000099,SEC00036,Dividend,2025-10-15,2025-10-17,,,821.47,Settled
TXN00000804,AC000099,SEC00139,Buy,2025-10-19,2025-10-21,48.00,329.88,15969.02,Settled
TXN00000091,AC000099,SEC00055,Buy,2025-10-21,2025-10-23,38.00,107.06,4073.25,Settled
TXN00002460,AC000017,SEC00111,Buy,2025-10-28,2025-10-30,135.00,171.75,23210.21,Settled
TXN00001568,AC000099,SEC00086,Sell,2025-10-30,2025-11-03,87.00,164.15,-14325.64,Settled
TXN00000263,AC000017,SEC00144,Sell,2025-11-18,2025-11-20,68.00,469.35,-32079.46,Settled
TXN00002415,AC000017,SEC00073,Buy,2025-11-28,2025-12-02,49.00,156.93,7727.18,Settled
TXN00000917,AC000024,SEC00115,Buy,2024-01-15,2024-01-17,182.00,44.57,8156.76,Settled
TXN00000737,AC000024,SEC00148,Dividend,2024-03-21,2024-03-25,,,766.22,Settled
TXN00001412,AC000024,SEC00140,Buy,2024-04-11,2024-04-15,12.00,224.51,2716.14,Settled
TXN00002246,AC000024,SEC00001,Dividend,2024-04-17,2024-04-19,,,155.81,Settled
TXN00001730,AC000024,SEC00054,Sell,2024-06-13,2024-06-17,218.00,170.07,-37313.05,Settled
TXN00001271,AC000024,SEC00118,Sell,2024-06-28,2024-07-02,261.00,53.71,-14095.47,Settled
TXN00000863,AC000024,SEC00098,Buy,2024-07-29,2024-07-31,33.00,491.30,16239.22,Settled
TXN00001652,AC000024,SEC00169,Buy,2024-09-24,2024-09-26,62.00,210.56,13151.33,Settled
TXN00000500,AC000024,SEC00129,Buy,2024-10-01,2024-10-03,272.00,25.27,6941.85,Settled
TXN00001060,AC000024,SEC00002,Sell,2024-10-07,2024-10-09,86.00,287.74,-24956.65,Settled
TXN00002406,AC000024,SEC00009,Dividend,2024-11-06,2024-11-08,,,193.98,Settled
TXN00002307,AC000024,SEC00011,Buy,2024-12-23,2024-12-25,243.00,47.30,11565.66,Settled
TXN00002304,AC000024,SEC00095,Sell,2025-02-05,2025-02-07,30.00,172.01,-5208.68,Settled
TXN00001059,AC000024,SEC00083,Dividend,2025-02-21,2025-02-25,,,464.12,Settled
TXN00000566,AC000024,SEC00058,Buy,2025-03-13,2025-03-17,1911.00,113.82,218438.11,Settled
TXN00000537,AC000024,SEC00022,Dividend,2025-03-18,2025-03-20,,,1373.50,Settled
TXN00002753,AC000024,SEC00015,Sell,2025-05-05,2025-05-07,1335.00,84.79,-113476.55,Settled
TXN00001397,AC000024,SEC00019,Dividend,2025-05-12,2025-05-14,,,1120.79,Settled
TXN00001692,AC000024,SEC00143,Buy,2025-06-16,2025-06-18,66.00,198.49,13211.21,Settled
TXN00001825,AC000024,SEC00074,Sell,2025-07-07,2025-07-09,40.00,241.26,-9739.54,Settled
TXN00000799,AC000024,SEC00152,Sell,2025-09-08,2025-09-10,43.00,244.99,-10609.62,Settled
TXN00002037,AC000024,SEC00163,Sell,2025-10-16,2025-10-20,213.00,193.18,-41499.47,Settled
TXN00001843,AC000019,SEC00025,Buy,2024-02-12,2024-02-14,128.00,67.86,8764.81,Settled
TXN00001538,AC000019,SEC00150,Buy,2024-03-23,2024-03-26,234.00,57.70,13579.73,Settled
TXN00000666,AC000019,SEC00149,Dividend,2024-03-25,2024-03-27,,,216.06,Settled
TXN00000221,AC000019,SEC00058,Buy,2024-04-29,2024-05-01,534.00,108.35,58133.39,Settled
